Last Name,Nationality,Date of Birth,Team,Total Goals,Shots Created per 90 Minutes,Assists
Taylor,Argentina,10/05/2005,Liverpool,30,3.05,2
Schmidt,Brazil,07/05/1996,West Ham United,30,1.63,0
Johnson,Denmark,08/08/1988,Liverpool,30,3.68,15
Cruz,Belgium,07/10/1992,Tottenham Hotspur,30,3.58,12
Woods,Sweden,08/11/2004,Tottenham Hotspur,30,1.4,5
Campbell,Portugal,05/03/1984,Manchester City,30,1.91,0
Aguilar,Italy,02/06/2002,Leeds United,30,4.94,13
Cardenas,Uruguay,09/12/1985,Tottenham Hotspur,30,4.81,7
Burton,France,30/11/1995,Tottenham Hotspur,30,2.56,9
Miller,Denmark,23/11/1988,Manchester United,30,2.48,3
Merritt,Sweden,25/10/1984,Aston Villa,30,3.29,0
Sanders,Spain,01/01/2002,Arsenal,30,0.92,11
Oneill,Argentina,14/06/1989,Manchester City,30,1.82,5
Stevens,Italy,12/01/1986,Leeds United,30,1.13,12
Taylor,Germany,05/01/2007,Liverpool,30,4.37,7
Ramirez,Belgium,26/01/1988,Chelsea,30,4.88,8
Freeman,France,11/05/1998,Manchester United,30,3.15,14
Myers,Portugal,02/08/1997,Manchester United,30,4.85,14
Martin,Netherlands,07/08/1985,Leicester City,30,1.08,8
Ramirez,Italy,16/12/1991,Leicester City,30,1.17,3
Swanson,Netherlands,28/06/2001,Newcastle United,30,3.77,14
Hall,Argentina,14/03/2006,Tottenham Hotspur,30,0.52,6
Glass,Italy,02/01/1992,Liverpool,30,3.41,15
Gonzalez,England,04/12/1999,Leicester City,30,0.88,9
Young,Netherlands,12/04/2003,Leicester City,30,1.26,1
Li,Scotland,17/11/2006,Manchester United,30,1.35,3
Gomez,Argentina,20/04/1986,Aston Villa,30,4.99,3
Martin,Brazil,22/04/1990,Leeds United,30,1.79,13
Ross,Denmark,10/04/2004,Arsenal,30,3.13,14
Case,Netherlands,17/08/1986,Tottenham Hotspur,30,4.88,5
Steele,England,05/03/1988,Chelsea,30,3.51,14
Wheeler,Uruguay,10/04/1993,Chelsea,30,4.85,9
Humphrey,Netherlands,10/01/2002,Newcastle United,30,1.03,7
Knox,Sweden,01/02/2002,Leicester City,30,4.78,7
Bates,Scotland,30/06/1999,Chelsea,30,2.44,3
Dickson,Argentina,08/10/2002,Arsenal,30,4.27,10
Alvarez,Scotland,15/01/2001,Arsenal,30,2.93,7
Baker,Germany,24/07/1986,Leeds United,30,1.09,13
Nelson,Belgium,15/06/2000,Tottenham Hotspur,30,2.51,1
Turner,Scotland,10/01/2003,West Ham United,30,0.81,15
Vasquez,England,29/03/1985,Tottenham Hotspur,30,2.65,9
Michael,Netherlands,01/01/1994,Tottenham Hotspur,30,2.68,12
Gonzalez,Argentina,24/01/2005,Manchester City,30,2.3,2
Bell,France,21/08/1996,Liverpool,30,2.68,9
Watkins,France,13/02/1984,Leicester City,30,3.21,8
Fitzgerald,Scotland,15/11/2001,Tottenham Hotspur,30,2.22,13
Romero,Portugal,22/08/1995,Tottenham Hotspur,30,0.63,13
Campbell,Netherlands,03/11/1988,Chelsea,30,4.19,2
Wright,Denmark,22/01/1989,West Ham United,30,2.91,10
Austin,Italy,22/12/1989,Manchester City,30,3.81,10
Graham,Uruguay,18/08/2000,Manchester United,30,1.44,1
Banks,Germany,09/10/1998,Everton,30,1.11,3
Johnson,Sweden,12/09/1989,Arsenal,30,1.56,13
Maldonado,France,06/11/1986,Manchester City,30,3.67,8
Brock,Italy,25/04/1987,Manchester United,30,0.99,5
Bryant,Brazil,02/02/1997,Everton,30,3.39,11
Sloan,Scotland,04/09/1997,Arsenal,30,0.56,14
Wallace,Belgium,11/12/2001,Liverpool,30,0.81,3
Rasmussen,Uruguay,07/05/1999,Leeds United,30,4.55,11
Short,Germany,04/12/1989,West Ham United,30,2.03,6
Barrett,Italy,16/11/2005,Liverpool,30,3.32,7
Rose,England,15/10/2000,Manchester United,30,3.8,11
Harrington,Uruguay,10/05/1995,Arsenal,30,4.12,0
Murillo,Italy,11/11/1999,Leicester City,30,1.95,7
Contreras,Scotland,02/02/2005,Manchester City,30,3.46,5
Cannon,France,09/01/1991,Everton,30,1.27,9
Johnson,Germany,20/07/1996,Manchester United,30,3.32,6
Watson,Portugal,25/02/1998,Tottenham Hotspur,30,3.73,14
Myers,Germany,17/01/1988,Tottenham Hotspur,30,3.04,12
Cooper,Italy,20/03/1998,Manchester United,30,3.11,9
Gonzales,Germany,23/09/1996,Manchester City,30,4.51,8
Edwards,Germany,14/12/2003,Aston Villa,30,0.59,7
Montgomery,Netherlands,04/06/1999,Tottenham Hotspur,30,3.88,2
Dunlap,Brazil,11/11/1986,Manchester City,30,2.08,4
Gonzalez,Italy,04/12/1990,Manchester City,30,4.37,6
Castillo,Uruguay,03/03/1989,Manchester United,30,4.91,13
Joseph,Argentina,16/06/1992,Leicester City,30,4.07,2
Smith,Scotland,09/03/2000,Manchester City,30,1.45,2
Smith,Spain,18/03/1998,Leicester City,30,4.05,8
Schmitt,France,14/05/2002,Leicester City,30,3.42,12
Hester,Italy,13/07/2002,Everton,30,3.51,15
Ramirez,Argentina,11/01/1989,Liverpool,30,3.99,15
Garcia,Denmark,02/11/1999,Liverpool,30,4.13,1
Weber,Denmark,02/09/1994,West Ham United,30,1.67,2
Wilson,Spain,17/01/2002,Aston Villa,30,3.82,2
Hodge,Portugal,28/03/1994,Tottenham Hotspur,30,3.69,6
Fuentes,Spain,28/08/1992,Chelsea,30,0.77,12
Hardy,Brazil,31/10/2004,Everton,30,4.62,6
Hanson,Denmark,09/03/1994,Liverpool,30,3.49,11
Santana,Sweden,14/08/2000,Leeds United,30,2.81,2
Huynh,Brazil,09/04/2005,Manchester United,30,3.12,1
Russo,Sweden,12/01/1985,Manchester City,30,2.6,13
Pham,Scotland,19/10/1985,Arsenal,30,4.56,15
Sawyer,Argentina,02/04/2005,West Ham United,30,4.94,14
Smith,France,25/02/2000,Leeds United,30,3.84,5
Brown,Scotland,19/11/1999,Everton,30,1.96,5
Smith,Netherlands,17/03/1998,Leicester City,30,4.41,0
Hunt,Argentina,04/02/2005,Manchester United,30,4.78,14
Sims,Portugal,22/09/1987,Arsenal,30,3.4,6
Fuller,Denmark,02/03/1990,Chelsea,30,1.56,4
Rowe,England,06/07/1990,Newcastle United,30,3.97,11
Garcia,Italy,09/07/1985,Chelsea,30,1.66,9
Coleman,Spain,07/10/2004,Leicester City,30,2.32,2
Fisher,Argentina,13/03/2006,Manchester United,30,2.61,13
White,Uruguay,10/08/1984,Leicester City,30,4.75,12
Jefferson,Germany,02/06/2006,Leicester City,30,3,1
Rubio,Italy,15/10/1991,West Ham United,30,0.91,5
Whitaker,Uruguay,31/08/1986,Leeds United,30,2.79,2
Jenkins,Argentina,09/01/2001,West Ham United,30,4.66,5
Brown,Italy,27/11/1987,Leicester City,30,1.64,15
Phillips,England,27/12/1996,Arsenal,30,1.92,11
Garcia,Argentina,07/12/2003,Chelsea,30,3.75,14
Shaw,France,27/07/1988,Leeds United,30,4.03,8
Logan,Sweden,21/05/2000,Manchester City,30,2.98,10
Holloway,Uruguay,01/06/1999,West Ham United,30,2.96,3
Jackson,Belgium,26/06/1999,Leeds United,30,0.82,14
Robinson,Uruguay,08/08/1987,Liverpool,30,2.88,10
Pearson,Italy,07/01/1993,West Ham United,30,1.32,12
Rodriguez,Germany,28/03/1994,Chelsea,30,3.68,8
Clements,Argentina,15/11/1996,Aston Villa,30,3.13,13
Taylor,Italy,06/06/1991,Leeds United,30,1.48,6
Davis,Denmark,09/04/1993,Leicester City,30,2,12
Brown,Netherlands,04/09/1997,Liverpool,30,3.52,10
Bell,Germany,07/02/2004,Leeds United,30,2.98,14
Rodriguez,Scotland,15/11/2002,Leicester City,30,2.92,1
Frost,England,01/03/1989,Tottenham Hotspur,30,0.83,7
Pope,Belgium,14/08/2002,Leeds United,30,1.08,4
Adkins,Brazil,19/12/1986,Tottenham Hotspur,30,3.96,5
Medina,Belgium,17/08/1988,Tottenham Hotspur,30,2.57,1
Davies,Sweden,15/11/1997,Manchester City,30,2.48,13
Bryant,Germany,01/09/1988,Leeds United,30,1.24,10
Johnson,Scotland,13/10/1998,Liverpool,30,2.58,8
Leonard,Belgium,11/06/1999,Liverpool,30,3.83,2
Johnson,Belgium,27/05/1987,Newcastle United,30,1.32,3
Johnson,Brazil,19/08/2002,Aston Villa,30,1.08,11
Ortiz,Uruguay,04/10/2002,Newcastle United,30,2.4,2
Washington,Portugal,26/10/1989,Newcastle United,30,3.1,4
Gentry,Sweden,06/03/1985,Everton,30,0.93,14
Dunlap,Netherlands,30/04/1995,Everton,30,4.13,7
White,Spain,29/04/1989,West Ham United,30,2.45,2
James,Argentina,05/01/2000,Newcastle United,30,2.44,3
Lawson,Brazil,09/05/1986,Everton,30,3.36,8
Raymond,Italy,25/11/1994,Chelsea,30,3.29,15
Thomas,Argentina,22/11/2004,Manchester City,30,2.77,0
Lee,Germany,15/06/1998,Liverpool,30,3.8,3
Fitzgerald,Sweden,12/04/2000,Leeds United,30,0.86,14
Peck,Denmark,01/09/2001,Leicester City,30,0.68,13
Barr,Spain,08/08/1991,West Ham United,30,4.13,1
Baxter,Netherlands,26/02/1984,Leicester City,30,4.56,11
Miller,Germany,31/12/2004,Leicester City,30,2.56,15
Hill,Spain,20/04/1997,Liverpool,30,2.82,6
Roberts,Spain,19/09/1993,Leicester City,30,4.64,8
Hernandez,Brazil,29/09/1991,Liverpool,30,0.84,5
Webb,Uruguay,29/03/2003,Liverpool,30,4.49,4
Blair,Scotland,17/07/1993,Liverpool,30,3.71,10
Clark,Netherlands,18/11/2004,Manchester United,30,3.68,5
Wright,Argentina,23/12/1987,Chelsea,30,3.09,11
Miller,Argentina,05/03/1996,Newcastle United,30,3.25,11
Duffy,Scotland,20/06/1995,Everton,30,1.06,10
Garcia,Uruguay,27/10/1985,Liverpool,30,2.18,5
Ross,Denmark,30/01/1999,Tottenham Hotspur,30,3.04,3
Holland,Brazil,26/08/1989,Tottenham Hotspur,30,3.07,1
Schaefer,Sweden,09/06/2004,Everton,30,1.46,3
Wells,Sweden,26/09/1992,Everton,30,0.5,11
Vega,Germany,24/11/1995,Aston Villa,30,4.86,4
Carter,France,13/06/1998,Everton,30,2.54,15
Norman,Italy,26/10/1998,Chelsea,30,3.07,8
House,Brazil,15/08/2000,Leicester City,30,4.66,6
Miller,Italy,08/04/2002,Manchester United,30,4.08,8
Robinson,Belgium,06/01/1995,Chelsea,30,3.87,14
Martinez,Brazil,24/05/1994,Leeds United,30,1.18,4
Mitchell,Italy,28/05/1994,West Ham United,30,4.54,2
Murphy,Netherlands,26/01/2005,Leicester City,30,1.61,9
Jordan,Germany,24/01/2006,West Ham United,30,3.47,0
Mcmillan,England,01/12/1993,Leeds United,30,1.72,0
Parsons,France,19/11/2002,Manchester United,30,2.23,1
Ross,Spain,10/02/1993,Liverpool,30,3.7,13
Bowman,Germany,20/04/1989,Everton,30,2.6,12
Flowers,England,17/06/1991,Newcastle United,30,2.1,0
Stewart,Italy,22/02/1992,West Ham United,30,2.29,1
Henderson,Italy,29/01/2001,Leicester City,30,3.24,5
Townsend,Sweden,26/10/1988,Newcastle United,30,4.65,6
Terry,Belgium,31/01/1991,West Ham United,30,3.91,4
Vargas,England,26/02/1991,Aston Villa,30,1.22,11
Larson,France,12/05/2002,West Ham United,30,4,13
Parker,Portugal,09/06/2000,Arsenal,30,1.09,11
Wall,Brazil,05/05/2002,Arsenal,29,2.13,3
Dougherty,Scotland,08/10/1992,Leicester City,29,2.95,0
Young,France,01/02/1992,Everton,29,1.81,7
Randall,Brazil,05/07/1998,Everton,29,3.84,12
Turner,Brazil,10/03/2004,Leeds United,29,0.77,0
Jones,Germany,14/11/1987,Chelsea,29,0.86,12
Morgan,Spain,26/07/1998,Newcastle United,29,4.85,7
Kennedy,Netherlands,08/12/2003,West Ham United,29,1.49,10
Briggs,Uruguay,02/04/1993,Aston Villa,29,2.3,5
Crosby,Sweden,01/06/1999,Aston Villa,29,0.59,13
Perez,Italy,01/03/1990,Manchester City,29,2.34,7
Alvarado,Denmark,28/11/1993,Chelsea,29,0.75,5
Roberts,Denmark,27/06/1996,Arsenal,29,1.72,12
Anderson,Belgium,04/04/1988,West Ham United,29,4.29,2
Osborne,Denmark,07/11/2005,Chelsea,29,4.87,12
Walker,Sweden,06/12/2003,Tottenham Hotspur,29,2.75,15
Chang,England,29/06/1997,Liverpool,29,3.56,4
Cain,Argentina,17/11/1987,Chelsea,29,2.12,6
Coleman,England,10/08/2004,Leicester City,29,3.22,12
Peters,Germany,11/02/1997,Leeds United,29,3.62,3
Hood,Germany,23/04/1990,Newcastle United,29,4.04,1
Watson,England,27/09/1988,Manchester United,29,2.08,4
Campbell,France,23/05/2005,Aston Villa,29,2.1,12
Mcdonald,Portugal,02/11/1986,Everton,29,2.24,6
Adams,England,13/11/1988,West Ham United,29,3.38,7
Brooks,Portugal,28/08/1994,Leeds United,29,3.08,3
Hampton,Uruguay,19/09/1993,Chelsea,29,2.91,4
Henson,Italy,02/05/1999,Everton,29,3.43,11
Dalton,Sweden,10/06/1984,Manchester United,29,1.82,10
Armstrong,Italy,26/11/2003,Chelsea,29,4.78,4
Gonzalez,Brazil,23/12/2002,West Ham United,29,2.1,11
Mcdonald,Netherlands,17/08/1990,Aston Villa,29,3.7,4
Brown,Portugal,30/01/2005,West Ham United,29,2.21,1
Singh,Italy,30/11/1997,Arsenal,29,1.9,4
Savage,France,16/02/1990,Aston Villa,29,0.8,4
Hardin,Denmark,21/11/1984,Leicester City,29,0.8,15
Martin,Italy,02/05/1990,Aston Villa,29,0.97,8
Ortega,Portugal,13/08/2005,Chelsea,29,4.68,10
Beck,Sweden,26/04/1991,Everton,29,4.9,0
Taylor,Portugal,29/07/1991,Arsenal,29,4.59,11
Flores,Sweden,24/12/1984,Liverpool,29,4.44,2
Hernandez,Germany,05/01/2003,Manchester City,29,0.58,15
Mitchell,Germany,02/04/1991,Leeds United,29,3.97,14
Johnson,Netherlands,04/07/2000,Leicester City,29,4.24,2
Ramirez,Brazil,21/01/2002,Aston Villa,29,1.6,7
Reyes,Germany,08/10/1989,Liverpool,29,1.84,0
Evans,Uruguay,28/04/1994,West Ham United,29,2.67,8
Skinner,Uruguay,24/03/2002,Liverpool,29,0.87,6
Foster,Belgium,08/03/2002,Newcastle United,29,0.73,10
Clarke,Sweden,03/02/2001,Leeds United,29,3.08,3
Wise,Denmark,03/05/1990,Leicester City,29,0.91,11
White,Argentina,12/12/2002,Newcastle United,29,3.55,9
Wilson,Spain,11/04/2000,Leeds United,29,2.58,11
Miller,Scotland,06/08/1985,Tottenham Hotspur,29,0.56,1
Lynn,Spain,25/12/1993,Newcastle United,29,3.47,2
Green,Scotland,29/10/2006,Manchester City,29,4.89,11
Harrell,Argentina,19/11/2003,Newcastle United,29,3.65,10
Jones,France,20/04/1989,Aston Villa,29,2.23,14
Baker,Italy,14/11/2006,Manchester City,29,0.6,12
Bowen,Netherlands,13/09/2006,Newcastle United,29,3.13,10
Williams,Denmark,08/08/2004,Leicester City,29,3.29,10
Ramirez,Sweden,24/12/1993,Liverpool,29,2.58,10
Lewis,Italy,28/10/2004,Chelsea,29,2.68,12
Greene,Italy,10/11/2004,Aston Villa,29,3.32,8
Carter,Belgium,22/12/1985,Manchester City,29,2.51,12
Sosa,Sweden,10/08/1998,Leeds United,29,4.35,1
Garcia,Denmark,30/03/1989,Newcastle United,29,3.01,14
Vaughn,Denmark,22/07/1991,Aston Villa,29,4.39,13
Webster,England,21/09/2000,Everton,29,2.15,14
Boone,Belgium,11/03/2005,Everton,29,3.91,8
Ortiz,Brazil,06/09/2001,Manchester United,29,0.76,15
Jennings,Denmark,22/01/2006,Newcastle United,29,0.76,5
Douglas,Sweden,15/01/1992,Arsenal,29,3.34,4
Smith,Denmark,11/03/1988,Leicester City,29,2.81,6
Gray,Brazil,11/12/2003,Newcastle United,29,4.93,10
Smith,Scotland,27/12/1997,Chelsea,29,2.94,2
Johnson,Spain,02/01/2003,Everton,29,4.58,6
Jones,France,03/07/1999,Arsenal,29,4.23,1
Reeves,Uruguay,11/07/1984,Liverpool,29,0.64,7
Brown,Denmark,18/11/1990,Leicester City,29,4.69,8
Welch,Italy,28/02/1994,West Ham United,29,0.66,3
Haynes,Germany,07/04/1990,Newcastle United,29,2.48,1
Tucker,Germany,14/09/1990,Newcastle United,29,1.68,5
Vincent,Denmark,22/06/2006,Tottenham Hotspur,29,2.72,1
Tran,Belgium,07/09/2003,Manchester United,29,3.72,3
Miller,Sweden,20/04/1996,West Ham United,29,2.13,3
Sanchez,Argentina,30/09/1993,Arsenal,29,4.9,3
Smith,Belgium,17/10/1996,Leicester City,29,3.94,1
Weeks,Netherlands,15/04/2002,Manchester City,29,4.89,2
Howell,Italy,01/11/2002,Everton,29,2.82,0
Smith,Uruguay,07/08/1994,West Ham United,29,3.23,14
Weber,France,06/05/1991,Newcastle United,29,3.47,15
Fox,Portugal,11/03/1996,Manchester City,29,1.35,8
Duncan,Argentina,27/05/1987,Aston Villa,29,3.34,2
Harding,Sweden,01/10/1987,Chelsea,29,1.89,4
Patterson,Germany,30/10/1989,Manchester United,29,0.54,3
Aguilar,France,04/03/1986,Tottenham Hotspur,29,4.23,1
Camacho,Brazil,27/01/2007,Tottenham Hotspur,29,1.77,5
Wilson,France,11/03/1996,Manchester United,29,2.81,13
Young,Argentina,26/06/1988,Manchester City,29,1.35,7
Griffin,France,21/03/1999,West Ham United,29,3.18,10
Perez,Denmark,21/11/1988,Leicester City,29,3.04,0
Sellers,Denmark,30/03/1998,Aston Villa,29,1.61,6
Pena,France,23/03/1990,Leicester City,29,4.56,9
Green,Argentina,25/04/1993,Manchester City,29,2.01,14
Martinez,France,25/01/1992,Aston Villa,29,1.78,3
Hart,Argentina,26/05/1993,Chelsea,29,1.09,6
Henderson,Italy,19/06/2001,Liverpool,29,3.14,14
Walker,Portugal,12/08/1987,West Ham United,29,0.9,3
Sandoval,Sweden,13/05/1991,West Ham United,29,2.18,3
Ramirez,Sweden,18/08/2006,Aston Villa,29,4.22,9
Nguyen,Portugal,26/04/2002,Newcastle United,29,3.07,14
Kelley,Spain,25/07/2006,Manchester City,29,4.43,6
Allen,Uruguay,10/06/2003,Liverpool,29,1.14,8
Butler,France,17/05/2003,Arsenal,29,1.83,0
Nash,Uruguay,03/03/2001,Liverpool,29,4.61,11
Wilson,Portugal,07/05/1995,Chelsea,29,4.98,4
Jones,Netherlands,28/01/1998,Everton,29,3.32,7
Chan,Argentina,23/04/1994,Arsenal,29,0.63,8
Bernard,Spain,03/05/2005,Everton,29,1.76,11
Sharp,Uruguay,24/08/2000,Leicester City,29,3.46,5
Davis,England,14/06/2004,Newcastle United,29,2.93,1
Harris,Belgium,05/07/1988,Leicester City,29,1.14,10
Robinson,Uruguay,06/12/1989,Leicester City,29,1.2,13
Byrd,Argentina,14/10/1984,Manchester United,29,4.79,9
Chase,Netherlands,13/07/1993,Aston Villa,29,2.02,8
Willis,Netherlands,30/08/2000,Everton,29,3.51,4
Barnes,Sweden,28/08/1996,Arsenal,29,2.24,1
Poole,Argentina,27/11/1992,West Ham United,29,3.23,0
James,Spain,09/04/2001,Leeds United,29,0.95,1
Leonard,England,19/04/2005,Manchester United,29,3.09,0
Mcclain,Uruguay,10/10/1985,West Ham United,29,4.19,9
Miller,France,30/07/1989,Manchester United,29,3,8
Adams,England,14/01/2004,Liverpool,29,1.28,7
Jefferson,Denmark,27/04/1996,West Ham United,29,3.93,7
Salazar,France,12/03/1994,Leeds United,29,2.61,7
Brown,Portugal,01/10/2005,Chelsea,29,0.7,14
